id;asignatura;tipo;pregunta;opciones;respuesta_correcta;extra
I548;Ingles;test;On Saturday I go to;the pool|school|bed;the pool;
I549;Ingles;test;On Monday I have;English|pizza|sleep;English;
I550;Ingles;verdadero_falso;You go to school on Monday;Verdadero|Falso;VERDADERO;
I551;Ingles;test;What day is after Monday?;Tuesday|Sunday|Friday;Tuesday;
I552;Ingles;test;What day is before Sunday?;Saturday|Monday|Tuesday;Saturday;
I553;Ingles;test;What are those?;books|run|play;books;
I554;Ingles;verdadero_falso;Those is plural;Verdadero|Falso;VERDADERO;
I555;Ingles;test;What are they from?;Spain|eat|run;Spain;
I556;Ingles;test;What are there?;Two cinemas|Run fast|Play ball;Two cinemas;
I557;Ingles;arrastrar;Drag places to sentence;cinema|cafe|restaurant;cinema|cafe|restaurant;
I558;Ingles;escribir;Write the address number;;17;
I559;Ingles;escribir;Write the street;;Green Street;
I560;Ingles;escribir;Write the city;;London;
I561;Ingles;escribir;Write the country;;UK;
I562;Ingles;test;Choose the correct address;17 Green Street|Green 17 Street|Street Green 17;17 Green Street;
I563;Ingles;verdadero_falso;UK is a country;Verdadero|Falso;VERDADERO;
I564;Ingles;pronunciar;mountain;;mountain;
I565;Ingles;pronunciar;forest;;forest;
I566;Ingles;pronunciar;cinema;;cinema;
I567;Ingles;hablar;Do you play football?;;Do you play football?;
I568;Ingles;hablar;Do you like comics?;;Do you like comics?;
I569;Ingles;listening;plays;play|plays;plays;
I570;Ingles;listening;doesn´t;does|doesn´t;doesn´t;
I571;Ingles;guess;He doesn´t play football;play|don´t play;doesn´t play;
I572;Ingles;guess;She runs fast;run|runs;runs;
I573;Ingles;test;He ___ read comics;doesn´t|don´t;doesn´t;
I574;Ingles;test;I ___ play games;doesn´t|don´t;don´t;
I575;Ingles;verdadero_falso;I play uses play;Verdadero|Falso;VERDADERO;
I576;Ingles;verdadero_falso;He play is correct;Verdadero|Falso;FALSO;
I577;Ingles;test;Choose the place;swimming pool|forest|cinema;swimming pool;
I578;Ingles;test;Where do you swim?;pool|cafe|mountain;pool;
I579;Ingles;test;Where is the river?;nature|cinema|house;nature;
I580;Ingles;ordenar;Order the sentence;There|are|two|cafes;There|are|two|cafes;
I581;Ingles;completar;There ___ a cafe;is|are;is;
I582;Ingles;completar;There ___ three rivers;is|are;are;
I583;Ingles;test;Choose ee word;green|bread|head;green;
I584;Ingles;test;Choose ea word;read|see|green;read;
I585;Ingles;listening;afraid;afraid|happy|sad;afraid;
I586;Ingles;guess;She is sad;happy|sad;sad;
I587;Ingles;test;Choose feeling;afraid|eat|run;afraid;
I588;Ingles;test;Choose activity;walk the dog|drink dog|read dog;walk the dog;
I589;Ingles;test;Choose activity;go to the playground|go to the pencil|go to the book;go to the playground;
I590;Ingles;ordenar;Order the sentence;She|doesn´t|read|comics;She|doesn´t|read|comics;
I591;Ingles;ordenar;Order the sentence;He|plays|board|games;He|plays|board|games;
I592;Ingles;verdadero_falso;Board games are activities;Verdadero|Falso;VERDADERO;
I593;Ingles;test;Does he go to the pool?;Yes|No;Yes;
I594;Ingles;test;Does she read comics?;Yes|No;No;
I595;Ingles;listening;Saturday;Monday|Saturday|Sunday;Saturday;
I596;Ingles;test;Saturday is;weekend|weekday|month;weekend;
I597;Ingles;test;Monday is;weekday|weekend|holiday;weekday;
I598;Ingles;verdadero_falso;Saturday is a school day;Verdadero|Falso;FALSO;
I599;Ingles;test;Choose plural question;What are those?|What is that?|What are this?;What are those?;
I600;Ingles;test;Those ___ books;are|is;are;
I601;Ingles;test;There ___ books;are|is;are;
I602;Ingles;test;There ___ a tower;is|are;is;
I603;Ingles;listening;tower;tower|river|forest;tower;
I604;Ingles;guess;You see films here;cinema|cafe|forest;cinema;
I605;Ingles;test;Choose place;mountain|pencil|apple;mountain;
I606;Ingles;pronunciar;restaurant;;restaurant;
I607;Ingles;pronunciar;cafe;;cafe;
I608;Ingles;hablar;Do you like pizza?;;Do you like pizza?;
I609;Ingles;hablar;Do you go to the pool?;;Do you go to the pool?;
I610;Ingles;escribir;Write the country;;UK;
I611;Ingles;escribir;Write the city;;London;
I612;Ingles;escribir;Write the street;;Green Street;
I613;Ingles;verdadero_falso;Addresses have number and street;Verdadero|Falso;VERDADERO;
I614;Ingles;test;Choose correct address;17 Green Street, London, UK|Green 17 London|UK Street 17;17 Green Street, London, UK;
I615;Ingles;test;Choose sentence;He doesn´t play|He don´t play|He no play;He doesn´t play;
I616;Ingles;test;Choose sentence;She plays football|She play football|She playing football;She plays football;
I617;Ingles;verdadero_falso;Does goes with he/she;Verdadero|Falso;VERDADERO;
I618;Ingles;test;Does he read?;Yes|No;Yes;
I619;Ingles;test;Does she swim?;Yes|No;No;
I620;Ingles;ordenar;Order the sentence;He|doesn´t|like|comics;He|doesn´t|like|comics;
I621;Ingles;test;What can you see in nature?;mountain|cinema|cafe;mountain;
I622;Ingles;test;Where is the forest?;countryside|cinema|restaurant;countryside;
I623;Ingles;cual_no_encaja;Which is NOT nature?;river|forest|cinema;cinema;
I624;Ingles;test;Where do people swim?;swimming pool|cinema|mountain;swimming pool;
I625;Ingles;verdadero_falso;A river is in the countryside;Verdadero|Falso;VERDADERO;
I626;Ingles;verdadero_falso;You swim in a restaurant;Verdadero|Falso;FALSO;
I627;Ingles;ordenar;Order the sentence;There|is|a|cinema;There|is|a|cinema;
I628;Ingles;ordenar;Order the sentence;There|are|two|rivers;There|are|two|rivers;
I629;Ingles;completar;There ___ a forest;is|are;is;
I630;Ingles;completar;There ___ three cafes;is|are;are;
I631;Ingles;test;He ___ play board games;does|doesn´t;does;
I632;Ingles;test;She ___ read comics;does|doesn´t;doesn´t;
I633;Ingles;test;He ___ plays chess;does|do;does;
I634;Ingles;test;I ___ play chess;does|do;do;
I635;Ingles;verdadero_falso;He plays is correct;Verdadero|Falso;VERDADERO;
I636;Ingles;verdadero_falso;She play is correct;Verdadero|Falso;FALSO;
I637;Ingles;ordenar;Order the sentence;He|plays|football;He|plays|football;
I638;Ingles;ordenar;Order the sentence;She|doesn´t|swim;She|doesn´t|swim;
I639;Ingles;test;Does he play football?;Yes|No;Yes;
I640;Ingles;test;Does she read comics?;Yes|No;No;
I641;Ingles;test;Does he go to the cinema?;Yes|No;Yes;
I642;Ingles;verdadero_falso;Does is for he/she;Verdadero|Falso;VERDADERO;
I645;Ingles;guess;You can watch films here;cinema|cafe|forest;cinema;
I646;Ingles;guess;You have lunch here;restaurant|river|mountain;restaurant;
I647;Ingles;test;Which word has ee?;green|bread|head;green;
I648;Ingles;test;Which word has ea?;read|see|tree;read;
I649;Ingles;test;Seat has the sound;ea|ee;ea;
I650;Ingles;clasificar;Classify the words;;ee:see,green|ea:read,seat;
I651;Ingles;test;Afraid means;asustado|feliz|cansado;asustado;
I652;Ingles;test;Sad means;triste|rapido|grande;triste;
I653;Ingles;verdadero_falso;Sad is a feeling;Verdadero|Falso;VERDADERO;
I654;Ingles;test;Choose the feeling;afraid|run|eat;afraid;
I655;Ingles;test;Choose the activity;read a comic|read a car|read a tree;read a comic;
I656;Ingles;test;Choose the activity;do a puzzle|do a dog|do a chair;do a puzzle;
I657;Ingles;test;Choose the activity;play a board game|play a street|play a book;play a board game;
I658;Ingles;test;Choose the activity;walk the dog|walk the car|walk the house;walk the dog;
I659;Ingles;test;Choose the activity;go to the playground|go to the pen|go to the bag;go to the playground;
I660;Ingles;ordenar;Order the sentence;I|play|board|games;I|play|board|games;
I661;Ingles;ordenar;Order the sentence;She|walks|the|dog;She|walks|the|dog;
I662;Ingles;completar;He ___ plays on Sunday;doesn´t|don´t;doesn´t;
I663;Ingles;completar;She ___ runs fast;does|do;does;
I664;Ingles;test;On Saturday I go to;the pool|school|English;the pool;
I665;Ingles;test;On Monday I have;English|cinema|park;English;
I666;Ingles;verdadero_falso;Saturday is weekend;Verdadero|Falso;VERDADERO;
I667;Ingles;verdadero_falso;Monday is weekend;Verdadero|Falso;FALSO;
I668;Ingles;test;What day is after Friday?;Saturday|Monday|Tuesday;Saturday;
I669;Ingles;test;What day is before Tuesday?;Monday|Sunday|Friday;Monday;
I670;Ingles;test;What are those?;dogs|run|play;dogs;
I671;Ingles;verdadero_falso;Those is plural;Verdadero|Falso;VERDADERO;
I672;Ingles;test;What are they from?;UK|eat|play;UK;
I673;Ingles;test;What are there?;Two cinemas|Run fast|Play games;Two cinemas;
I675;Ingles;escribir;Write the number;;17;
I676;Ingles;escribir;Write the street;;Green Street;
I677;Ingles;escribir;Write the city;;London;
I678;Ingles;escribir;Write the country;;UK;
I679;Ingles;test;Choose correct address;17 Green Street|Green Street 71|Street Green 17;17 Green Street;
I680;Ingles;verdadero_falso;An address has city and country;Verdadero|Falso;VERDADERO;
I681;Ingles;pronunciar;river;;river;
I682;Ingles;pronunciar;mountain;;mountain;
I683;Ingles;pronunciar;playground;;playground;
I684;Ingles;hablar;Do you play games?;;Do you play games?;
I685;Ingles;hablar;Do you like comics?;;Do you like comics?;
I688;Ingles;guess;He plays football;plays|play;plays;
I689;Ingles;guess;She doesn´t read;read|doesn´t read;doesn´t read;
I690;Ingles;test;He ___ swim;doesn´t|don´t;doesn´t;
I691;Ingles;test;I ___ like comics;doesn´t|don´t;don´t;
I692;Ingles;verdadero_falso;I don´t play is correct;Verdadero|Falso;VERDADERO;
I693;Ingles;verdadero_falso;He don´t play is correct;Verdadero|Falso;FALSO;
I694;Ingles;test;Where do you eat?;restaurant|river|cinema;restaurant;
I695;Ingles;test;Where do you see films?;cinema|forest|pool;cinema;
I696;Ingles;ordenar;Order the sentence;There|is|a|cafe;There|is|a|cafe;
I697;Ingles;ordenar;Order the sentence;There|are|three|pools;There|are|three|pools;
I698;Ingles;completar;There ___ a tower;is|are;is;
I699;Ingles;completar;There ___ two cinemas;is|are;are;
I700;Ingles;test;Choose ee word;see|bread|head;see;
I701;Ingles;test;Choose ea word;seat|green|tree;seat;
I702;Ingles;listening;sad;happy|sad|afraid;sad;
I703;Ingles;guess;She is afraid;happy|afraid;afraid;
I704;Ingles;test;Choose feeling;sad|run|eat;sad;
I705;Ingles;test;Choose activity;climb a tree|climb a book|climb a car;climb a tree;
I706;Ingles;test;Choose activity;go to the playground|go to the chair|go to the pen;go to the playground;
I707;Ingles;ordenar;Order the sentence;He|doesn´t|play|games;He|doesn´t|play|games;
I708;Ingles;ordenar;Order the sentence;She|plays|games;She|plays|games;
I709;Ingles;verdadero_falso;Playground is for playing;Verdadero|Falso;VERDADERO;
I710;Ingles;test;Does he go to the pool?;Yes|No;No;
I711;Ingles;test;Does she play chess?;Yes|No;Yes;
I713;Ingles;test;Monday is a;weekday|weekend|holiday;weekday;
I714;Ingles;test;Sunday is a;weekend|weekday|month;weekend;
I715;Ingles;verdadero_falso;Sunday is school day;Verdadero|Falso;FALSO;
I716;Ingles;test;Choose plural question;What are those?|What is that?|What are this?;What are those?;
I717;Ingles;test;Those ___ dogs;are|is;are;
I718;Ingles;test;There ___ dogs;are|is;are;
I719;Ingles;test;There ___ a river;is|are;is;
I720;Ingles;listening;river;river|forest|cinema;river;
I721;Ingles;guess;You walk your dog here;park|cinema|cafe;park;
I722;Ingles;test;Choose place;countryside|pencil|apple;countryside;
I723;Ingles;pronunciar;countryside;;countryside;
I724;Ingles;pronunciar;restaurant;;restaurant;
I725;Ingles;hablar;Do you go to school on Monday?;;Do you go to school on Monday?;
I726;Ingles;hablar;Do you swim on Saturday?;;Do you swim on Saturday?;
I727;Ingles;escribir;Write the country UK;;UK;
I728;Ingles;escribir;Write the city London;;London;
I729;Ingles;escribir;Write the street Green Street;;Green Street;
I730;Ingles;verdadero_falso;UK is in Europe;Verdadero|Falso;VERDADERO;
I731;Ingles;test;Choose correct address;17 Green Street, London, UK|London Green 17|UK 17 Street;17 Green Street, London, UK;
I732;Ingles;test;Choose sentence;He doesn´t read comics|He don´t read comics|He no read comics;He doesn´t read comics;
I733;Ingles;test;Choose sentence;She plays board games|She play board games|She playing board games;She plays board games;
I734;Ingles;verdadero_falso;Does is used in questions;Verdadero|Falso;VERDADERO;
I735;Ingles;test;Does he play games?;Yes|No;Yes;
I736;Ingles;test;Does she go to the cinema?;Yes|No;No;
I737;Ingles;ordenar;Order the sentence;She|doesn´t|like|comics;She|doesn´t|like|comics;
I738;Ingles;ordenar;Order the sentence;He|plays|football;He|plays|football;
I739;Ingles;test;Choose feeling;happy|sad|afraid;happy;
I740;Ingles;verdadero_falso;Happy is a feeling;Verdadero|Falso;VERDADERO;
I741;Ingles;test;What place is in nature?;mountain|cinema|restaurant;mountain;
I742;Ingles;test;Where do you see trees?;forest|cafe|cinema;forest;
I743;Ingles;cual_no_encaja;Which is NOT a place?;river|mountain|banana;banana;
I744;Ingles;test;Where do you swim?;swimming pool|cinema|forest;swimming pool;
I745;Ingles;verdadero_falso;A cinema is for films;Verdadero|Falso;VERDADERO;
I746;Ingles;verdadero_falso;You eat in the forest;Verdadero|Falso;FALSO;
I747;Ingles;ordenar;Order the sentence;There|is|a|river;There|is|a|river;
I748;Ingles;ordenar;Order the sentence;There|are|two|cinemas;There|are|two|cinemas;
I749;Ingles;completar;There ___ a mountain;is|are;is;
I750;Ingles;completar;There ___ three restaurants;is|are;are;
I751;Ingles;test;He ___ play chess;does|doesn´t;does;
I752;Ingles;test;She ___ read comics;does|doesn´t;does;
I753;Ingles;test;He ___ plays games;does|do;does;
I754;Ingles;test;I ___ play games;do|does;do;
I755;Ingles;verdadero_falso;She plays is correct;Verdadero|Falso;VERDADERO;
I756;Ingles;verdadero_falso;He play is correct;Verdadero|Falso;FALSO;
I757;Ingles;ordenar;Order the sentence;He|plays|games;He|plays|games;
I758;Ingles;ordenar;Order the sentence;She|doesn´t|play;She|doesn´t|play;
I759;Ingles;test;Does he play games?;Yes|No;Yes;
I760;Ingles;test;Does she swim?;Yes|No;No;
I761;Ingles;test;Does he go to the cafe?;Yes|No;Yes;
I762;Ingles;verdadero_falso;Questions use does;Verdadero|Falso;VERDADERO;
I765;Ingles;guess;You eat lunch here;restaurant|mountain|forest;restaurant;
I766;Ingles;guess;You watch films here;cinema|cafe|pool;cinema;
I767;Ingles;test;Which word has ee?;see|bread|head;see;
I768;Ingles;test;Which word has ea?;seat|tree|green;seat;
I769;Ingles;test;Read has sound;ea|ee;ea;
I770;Ingles;clasificar;Classify the words;;ee:see,green|ea:read,seat;
I771;Ingles;test;Afraid means;asustado|feliz|alto;asustado;
I772;Ingles;test;Sad means;triste|rapido|lento;triste;
I773;Ingles;verdadero_falso;Afraid is a feeling;Verdadero|Falso;VERDADERO;
I774;Ingles;test;Choose feeling;afraid|eat|jump;afraid;
I775;Ingles;test;Choose activity;read a comic|read a shoe|read a tree;read a comic;
I776;Ingles;test;Choose activity;climb a tree|climb a book|climb a desk;climb a tree;
I777;Ingles;test;Choose activity;do a puzzle|do a house|do a dog;do a puzzle;
I778;Ingles;test;Choose activity;play a board game|play a chair|play a wall;play a board game;
I779;Ingles;test;Choose activity;walk the dog|walk the car|walk the pencil;walk the dog;
I780;Ingles;ordenar;Order the sentence;I|walk|the|dog;I|walk|the|dog;
I781;Ingles;ordenar;Order the sentence;She|plays|games;She|plays|games;
I782;Ingles;completar;He ___ plays on Monday;doesn´t|don´t;doesn´t;
I783;Ingles;completar;She ___ runs fast;does|do;does;
I784;Ingles;test;On Saturday I go to;the pool|school|English;the pool;
I785;Ingles;test;On Monday I have;English|cinema|park;English;
I786;Ingles;verdadero_falso;Monday is weekday;Verdadero|Falso;VERDADERO;
I787;Ingles;verdadero_falso;Sunday is weekday;Verdadero|Falso;FALSO;
I788;Ingles;test;What day is after Sunday?;Monday|Friday|Saturday;Monday;
I789;Ingles;test;What day is before Friday?;Thursday|Sunday|Monday;Thursday;
I790;Ingles;test;What are those?;cats|run|play;cats;
I791;Ingles;verdadero_falso;Those means many;Verdadero|Falso;VERDADERO;
I792;Ingles;test;What are they from?;Spain|eat|run;Spain;
I793;Ingles;test;What are there?;Two cafes|Run fast|Play games;Two cafes;
I794;Ingles;arrastrar;Drag places;cinema|forest|restaurant;cinema|forest|restaurant;
I795;Ingles;escribir;Write the number 17;;17;
I799;Ingles;test;Choose correct address;17 Green Street|Street Green 17|Green 17;17 Green Street;
I800;Ingles;verdadero_falso;Addresses have street name;Verdadero|Falso;VERDADERO;
I801;Ingles;pronunciar;cinema;;cinema;
I802;Ingles;pronunciar;forest;;forest;
I803;Ingles;pronunciar;river;;river;
I804;Ingles;hablar;Do you read comics?;;Do you read comics?;
I805;Ingles;hablar;Do you like games?;;Do you like games?;
I808;Ingles;guess;He doesn´t play games;play|doesn´t play;doesn´t play;
I809;Ingles;guess;She runs fast;run|runs;runs;
I810;Ingles;test;He ___ read books;doesn´t|don´t;doesn´t;
I811;Ingles;test;I ___ like games;don´t|doesn´t;don´t;
I812;Ingles;verdadero_falso;She doesn´t play is correct;Verdadero|Falso;VERDADERO;
I813;Ingles;verdadero_falso;He don´t play is correct;Verdadero|Falso;FALSO;
I814;Ingles;test;Where do you eat lunch?;restaurant|river|forest;restaurant;
I815;Ingles;test;Where do you see films?;cinema|cafe|mountain;cinema;
I816;Ingles;ordenar;Order the sentence;There|is|a|restaurant;There|is|a|restaurant;
I817;Ingles;ordenar;Order the sentence;There|are|two|cafes;There|are|two|cafes;
I818;Ingles;completar;There ___ a cinema;is|are;is;
I819;Ingles;completar;There ___ three forests;is|are;are;
I820;Ingles;test;Choose ee word;green|bread|head;green;
I821;Ingles;test;Choose ea word;read|see|tree;read;
I822;Ingles;listening;happy;afraid|sad|happy;happy;
I823;Ingles;guess;She is happy;happy|sad;happy;
I824;Ingles;test;Choose feeling;happy|run|eat;happy;
I825;Ingles;test;Choose activity;go to the playground|go to the bag|go to the pen;go to the playground;
